age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,target
33,management,single,high.school,no,no,no,telephone,jun,thu,15,1,999,0,nonexistent,-1.7,94.055,-39.8,0.742,4991.6,0
50,management,married,university.degree,no,no,no,telephone,jun,fri,114,5,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,0
61,technician,divorced,professional.course,no,yes,no,cellular,may,mon,268,3,999,0,nonexistent,-1.8,92.893,-46.2,1.354,5099.1,1
46,admin.,married,university.degree,no,unknown,unknown,cellular,dec,fri,696,10,999,0,nonexistent,-3,92.713,-33,0.718,5023.5,1
53,technician,divorced,professional.course,no,yes,yes,cellular,jul,tue,639,3,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0
33,admin.,single,high.school,no,yes,no,cellular,aug,fri,1088,3,999,0,nonexistent,-2.9,92.201,-31.4,0.881,5076.2,1
28,admin.,single,university.degree,no,no,no,cellular,jun,mon,114,1,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,0
44,technician,married,professional.course,no,yes,no,telephone,jul,thu,168,1,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,0
50,blue-collar,married,basic.9y,no,yes,no,cellular,aug,wed,68,2,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,0
53,blue-collar,married,basic.6y,no,yes,yes,cellular,apr,mon,208,2,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,0
31,unemployed,single,university.degree,no,yes,no,cellular,jul,tue,309,1,6,3,success,-1.7,94.215,-40.3,0.835,4991.6,1
34,blue-collar,married,basic.6y,unknown,yes,no,cellular,may,tue,306,2,999,1,failure,-1.8,92.893,-46.2,1.291,5099.1,0
59,management,married,basic.4y,unknown,yes,no,telephone,may,thu,374,4,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191,0
37,blue-collar,married,basic.9y,no,no,no,telephone,may,mon,270,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
45,technician,married,professional.course,no,yes,yes,cellular,jun,tue,191,1,999,0,nonexistent,-2.9,92.963,-40.8,1.206,5076.2,0
52,management,married,university.degree,no,yes,no,cellular,nov,tue,67,1,999,0,nonexistent,-0.1,93.2,-42,4.153,5195.8,0
48,blue-collar,married,basic.4y,no,no,yes,telephone,jun,tue,291,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0
35,services,married,high.school,no,yes,no,cellular,jul,wed,436,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0
47,self-employed,married,university.degree,no,no,no,cellular,aug,mon,230,4,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0
38,blue-collar,married,basic.6y,no,no,no,cellular,jul,wed,179,17,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0
36,services,single,high.school,no,no,no,cellular,jul,mon,719,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0
22,blue-collar,single,basic.9y,no,yes,yes,cellular,jul,mon,848,1,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,1
47,management,married,high.school,no,yes,yes,cellular,nov,fri,225,3,999,0,nonexistent,-0.1,93.2,-42,4.021,5195.8,0
38,admin.,single,basic.9y,no,no,yes,telephone,may,thu,110,3,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191,0
86,retired,married,unknown,unknown,yes,yes,cellular,sep,tue,211,1,7,4,success,-1.1,94.199,-37.5,0.877,4963.6,1
35,admin.,single,high.school,no,yes,yes,cellular,may,tue,200,4,999,1,failure,-1.8,92.893,-46.2,1.291,5099.1,0
54,technician,married,unknown,no,yes,no,cellular,nov,thu,222,1,999,1,failure,-1.1,94.767,-50.8,1.041,4963.6,0
41,admin.,divorced,high.school,no,no,no,telephone,may,tue,72,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
72,admin.,married,university.degree,unknown,no,yes,cellular,oct,tue,143,1,6,1,success,-3.4,92.431,-26.9,0.728,5017.5,1
34,admin.,married,university.degree,no,yes,no,telephone,jun,fri,22,5,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,0
27,admin.,single,university.degree,no,no,no,cellular,oct,mon,278,1,999,0,nonexistent,-1.1,94.601,-49.5,0.977,4963.6,1
82,retired,married,university.degree,no,yes,no,cellular,oct,tue,215,1,999,0,nonexistent,-3.4,92.431,-26.9,0.744,5017.5,1
55,admin.,married,high.school,no,no,no,cellular,dec,fri,254,2,999,0,nonexistent,-3,92.713,-33,0.718,5023.5,0
32,management,divorced,university.degree,no,yes,no,cellular,may,tue,313,1,999,0,nonexistent,-1.8,92.893,-46.2,1.344,5099.1,0
74,retired,married,high.school,no,yes,no,cellular,aug,thu,1452,1,999,1,failure,-2.9,92.201,-31.4,0.883,5076.2,1
28,technician,single,unknown,no,yes,no,cellular,jul,fri,184,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0
37,housemaid,single,university.degree,no,no,no,cellular,may,fri,288,2,999,0,nonexistent,-1.8,92.893,-46.2,1.259,5099.1,1
47,services,married,unknown,no,yes,no,cellular,jul,thu,43,3,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,0
38,blue-collar,divorced,unknown,no,no,no,cellular,nov,tue,596,1,999,0,nonexistent,-0.1,93.2,-42,4.153,5195.8,1
37,admin.,divorced,university.degree,unknown,yes,no,cellular,may,wed,302,4,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,0
40,technician,married,professional.course,no,yes,no,telephone,may,mon,68,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
36,admin.,married,university.degree,no,yes,yes,telephone,jun,fri,170,2,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,0
39,admin.,divorced,high.school,no,no,yes,cellular,may,fri,301,1,999,1,failure,-1.8,92.893,-46.2,1.25,5099.1,0
30,admin.,single,university.degree,no,yes,no,cellular,jun,wed,617,2,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,1
35,admin.,single,high.school,no,no,yes,telephone,may,fri,813,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,1
32,admin.,single,high.school,no,no,no,cellular,may,tue,278,1,999,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,0
31,blue-collar,married,basic.9y,no,unknown,unknown,telephone,may,mon,73,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,0
29,admin.,divorced,professional.course,no,yes,yes,cellular,may,mon,58,6,999,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1,0
41,admin.,married,university.degree,no,yes,no,cellular,nov,fri,252,4,999,0,nonexistent,-1.1,94.767,-50.8,1.04,4963.6,1
50,retired,married,basic.4y,no,unknown,unknown,cellular,jul,wed,236,1,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,0
39,blue-collar,single,basic.9y,no,no,no,cellular,apr,thu,311,2,999,0,nonexistent,-1.8,93.075,-47.1,1.483,5099.1,0
39,services,married,high.school,no,yes,yes,cellular,jul,tue,197,4,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0
56,retired,married,high.school,no,yes,no,telephone,may,mon,167,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
31,admin.,single,university.degree,no,yes,yes,cellular,aug,thu,140,3,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,0
55,blue-collar,married,basic.4y,no,no,no,telephone,jun,thu,146,1,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,0
40,blue-collar,married,basic.4y,unknown,yes,no,cellular,jul,thu,347,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0
52,housemaid,married,basic.9y,no,yes,no,cellular,jul,mon,83,12,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0
42,unemployed,married,high.school,unknown,yes,yes,telephone,may,mon,226,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
32,unemployed,married,basic.9y,no,no,no,telephone,may,fri,71,4,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,0
33,admin.,divorced,high.school,no,yes,no,telephone,may,tue,110,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
39,admin.,married,university.degree,no,no,no,cellular,nov,thu,240,1,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8,0
38,unemployed,single,university.degree,no,yes,no,cellular,nov,tue,97,1,999,0,nonexistent,-0.1,93.2,-42,4.153,5195.8,0
76,retired,married,university.degree,no,no,no,cellular,aug,thu,126,1,999,1,failure,-1.7,94.027,-38.3,0.899,4991.6,0
29,technician,single,university.degree,no,yes,no,telephone,may,mon,193,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,0
30,admin.,single,university.degree,no,yes,no,cellular,aug,fri,118,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,0
58,admin.,married,university.degree,no,no,no,cellular,nov,fri,850,1,999,0,nonexistent,-0.1,93.2,-42,4.021,5195.8,1
35,blue-collar,divorced,basic.4y,no,no,no,cellular,nov,thu,197,4,999,1,failure,-0.1,93.2,-42,4.076,5195.8,0
34,housemaid,single,high.school,no,no,no,cellular,may,wed,391,1,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,1
54,self-employed,married,basic.9y,no,no,yes,cellular,nov,tue,72,1,999,0,nonexistent,-0.1,93.2,-42,4.153,5195.8,0
50,blue-collar,married,basic.6y,unknown,no,no,telephone,may,tue,1446,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,0
42,services,divorced,high.school,unknown,yes,no,cellular,jul,mon,118,3,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0
36,admin.,single,university.degree,no,yes,no,cellular,nov,wed,152,1,999,0,nonexistent,-0.1,93.2,-42,4.12,5195.8,0
39,blue-collar,married,basic.9y,unknown,no,no,telephone,may,tue,504,4,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,1
54,blue-collar,married,basic.6y,unknown,no,no,telephone,jun,thu,2025,1,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,1
37,management,married,high.school,no,yes,no,cellular,jul,mon,599,1,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,1
35,services,married,basic.9y,unknown,yes,no,telephone,may,tue,181,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
28,admin.,married,high.school,no,yes,no,cellular,may,fri,579,1,999,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,0
26,admin.,single,high.school,no,no,yes,telephone,may,fri,143,2,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191,0
51,admin.,divorced,university.degree,no,yes,yes,cellular,nov,thu,249,2,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8,0
35,self-employed,married,university.degree,no,no,no,telephone,may,mon,293,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
46,blue-collar,married,unknown,no,no,no,telephone,may,tue,50,3,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,0
50,housemaid,divorced,basic.4y,unknown,yes,yes,telephone,may,tue,292,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,0
39,unemployed,married,university.degree,unknown,yes,no,cellular,nov,mon,74,1,999,1,failure,-0.1,93.2,-42,4.191,5195.8,0
33,blue-collar,married,basic.9y,no,no,no,telephone,jul,fri,286,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0
26,unemployed,single,basic.9y,no,yes,no,telephone,may,tue,112,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
30,unemployed,married,high.school,no,no,yes,cellular,nov,tue,155,1,999,0,nonexistent,-0.1,93.2,-42,4.153,5195.8,0
58,housemaid,married,basic.4y,no,no,no,cellular,aug,wed,84,3,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,0
